name	unit	description	default	references
dw	m	depth of water column	0.6	guess
ds	m	depth of sediment layer	0.03	guess
por	-	porosity of sediments	0.3	guess
ka_w	1/d	rate constant of antibiotic decay in water	0.1	Hellweger et al. (2011), Table S4
ka_s	1/d	rate constant of antibiotic decay in sediments	0	Hellweger et al. (2011), Table S4
kd_DOM	m3/g C	coefficient for antibiotic sorption to DOM	0.016	Hellweger et al. (2011), Table S4
kd_TSS	m3/g DW	coefficient for antibiotic sorption to TSS	0.0002	Hellweger et al. (2011), Table S4
us	m/d	settling velocity	NA	Hellweger et al. (2011), Table S6
ur	m/d	resuspension velocity	NA	Hellweger et al. (2011), Table S6
ud	m/d	velocity describing turbulent diffusion	0.005	Hellweger et al. (2011), Table S6
P	g C/m2/d	rate of POM production	2.3	Hellweger et al. (2011), Table S6
kh_w	1/d	rate constant of POM hydrolysis in water	0.05	Hellweger et al. (2011), Table S6
kh_s	1/d	rate constant of POM hydrolysis in sediments	0.05	Hellweger et al. (2011), Table S6
fp	-	fraction of water-column bacteria being bound to particles	0.1	Hellweger et al. (2011), Table S6
kr	1/d	bacteria respiration rate constant	0.11	Hellweger et al. (2011), Table S4
kg	1/d	max. growth rate of sensitive bacteria	2.6	Hellweger et al. (2011), Table S4
h_DOM	g C/m3	half saturation concentration of DOM for bacteria growth	9.1	Hellweger et al. (2011), Table S6
Y	-	yield; bacterial carbon / DOM carbon	0.36	Hellweger et al. (2011), Table S7
Amic	g A/m3	minimum inhibiting conc. of freely dissolved antibiotic	0.013	Hellweger et al. (2011), Table S6
ks	1/d	rate constant of segregational loss	0.04	Hellweger et al. (2011), Table S6
kc	m3/g C/d	constant to control conjugation	1.00E-05	Hellweger et al. (2011), Table S6
alpha	-	reduction of growth rate due to resistance (plasmid cost)	0.1	Hellweger et al. (2011), Table S6
S_in	g C/m3	concentrations in inflow	0.018	Hellweger et al. (2011), Table S7
R_in	g C/m3	concentrations in inflow	0.002	Hellweger et al. (2011), Table S7
A_in	g C/m3	concentrations in inflow	0.002	guess
DOM_in	g C/m3	concentrations in inflow	3.2	Hellweger et al. (2011), Table S7
POM_in	g C/m3	concentrations in inflow	0.4	Hellweger et al. (2011), Table S7
TSS_in	g TSS/m3	concentrations in inflow	16	Hellweger et al. (2011), Table S6
V	m3	reactor volume	NA	value not used
Q_in	m3/d	external inflow (not from upstream reactor)	NA	value not used
Q	m3/d	inflow from upstream reactor	NA	value not used
